original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence
204,frame_204_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,11,11,0,8,3.105728084132079e-32,3.105728084132079e-32,-72.54947480026877,-72.54947480026877,True,True,0,4,0,0,0,2,0,0,0,2,0,15
205,frame_205_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,1,1,16,6,0.008510617556703605,0.008510617556703605,-4.757893731015256,-4.757893731015256,True,False,0,4,0,0,0,2,0,0,16,0,0,1
205,frame_205_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,14,14,8,1,1.0534405047462369e-39,1.0534405047462369e-39,-89.7487571480005,-89.7487571480005,False,True,0,1,0,3,0,0,0,2,8,0,0,9
205,frame_205_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,8,8,8,6,2.6367846875211067e-17,2.6367846875211067e-17,-38.17438632740308,-38.17438632740308,True,False,0,4,0,0,0,2,0,0,8,0,0,9
205,frame_205_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,16,4,8.532531300774946e-82,0.5,-186.66809155530194,0.0,True,False,0,2,2,0,0,2,0,0,16,0,0,1
205,frame_205_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,11,11,0,7,2.8901992853636787e-33,2.8901992853636787e-33,-74.92398261218334,-74.92398261218334,True,True,0,4,0,0,0,2,0,0,0,1,0,16
206,frame_206_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,23,1,1,16,6,0.005933514043808461,0.005933514043808461,-5.12118746671181,-5.12118746671181,True,True,0,1,0,0,0,4,0,0,16,1,0,1
206,frame_206_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,13,13,9,1,7.81090437492927e-43,4.9425834188822696e-42,-96.95563824455033,-95.11068575195773,False,True,0,1,0,0,0,0,0,4,9,0,0,9
206,frame_206_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,7,7,9,6,1.5606917597456393e-15,1.5606917597456393e-15,-34.093647236203424,-34.093647236203424,True,False,0,1,0,0,0,4,0,0,9,1,0,8
206,frame_206_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,18,2,8.510217225913883e-73,0.5,-165.9474443203465,0.0,True,False,0,0,1,0,1,2,1,0,17,0,0,1
206,frame_206_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,12,12,0,7,7.428455995142371e-36,7.428455995142371e-36,-80.88774531749571,-80.88774531749571,True,False,0,1,0,0,0,4,0,0,0,2,0,16
207,frame_207_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0
207,frame_207_layer_3,3,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,0,0,0,0,0,0.5,0.5,0.0,0.0,False,True,0,0,0,0,0,0,0,0,0,0,0,0
207,frame_207_layer_6,6,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0
207,frame_207_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0
207,frame_207_layer_28,28,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,0,0,0,0,0,0.5,0.5,0.0,0.0,True,True,0,0,0,0,0,0,0,0,0,0,0,0
208,frame_208_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0
208,frame_208_layer_3,3,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,0,0,0,0,0,0.5,0.5,0.0,0.0,False,True,0,0,0,0,0,0,0,0,0,0,0,0
208,frame_208_layer_6,6,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0
208,frame_208_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,0,0,0,0,0,0.5,0.5,0.0,0.0,True,False,0,0,0,0,0,0,0,0,0,0,0,0
208,frame_208_layer_28,28,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,0,0,0,0,0,0.5,0.5,0.0,0.0,True,True,0,0,0,0,0,0,0,0,0,0,0,0
209,frame_209_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,0,0,0,0,0,0.5,0.5,0.0,0.0,True,True,0,0,0,0,0,0,0,0,0,0,0,0
209,frame_209_layer_3,3,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,0,0,0,0,0,0.5,0.5,0.0,0.0,False,True,0,0,0,0,0,0,0,0,0,0,0,0
