original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
202,0.27760910093009805,frame_202_layer_24,24,unknown,UNKNOWN,insufficient_positive_physical_evidence,8,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/058_frame_202_layer_24
202,0.27760910093009805,frame_202_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,8,2,1.0,0.25,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/059_frame_202_layer_28
203,0.2815773461555924,frame_203_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/060_frame_203_layer_0
203,0.2815773461555924,frame_203_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,4,0,0.5714285714285714,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/061_frame_203_layer_3
203,0.2815773461555924,frame_203_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,2,5,0.2857142857142857,0.7142857142857143,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/062_frame_203_layer_6
203,0.2815773461555924,frame_203_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,1,0.0,0.14285714285714285,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/063_frame_203_layer_10
203,0.2815773461555924,frame_203_layer_24,24,unknown,UNKNOWN,insufficient_positive_physical_evidence,7,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/064_frame_203_layer_24
203,0.2815773461555924,frame_203_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,7,2,1.0,0.2857142857142857,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/065_frame_203_layer_28
204,0.28446401290015544,frame_204_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,0,0.3333333333333333,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/066_frame_204_layer_0
204,0.28446401290015544,frame_204_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,0,0.16666666666666666,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/067_frame_204_layer_3
204,0.28446401290015544,frame_204_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,6,0.5,1.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/068_frame_204_layer_6
204,0.28446401290015544,frame_204_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/069_frame_204_layer_10
204,0.28446401290015544,frame_204_layer_12,12,unknown,UNKNOWN,insufficient_positive_physical_evidence,6,3,1.0,0.5,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/070_frame_204_layer_12
204,0.28446401290015544,frame_204_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,6,1,1.0,0.16666666666666666,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/071_frame_204_layer_28
205,0.29123566231989506,frame_205_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,0,0.4,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/072_frame_205_layer_0
205,0.29123566231989506,frame_205_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,0,0.2,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/073_frame_205_layer_3
205,0.29123566231989506,frame_205_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,2,5,0.4,1.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/074_frame_205_layer_6
205,0.29123566231989506,frame_205_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/075_frame_205_layer_10
205,0.29123566231989506,frame_205_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,1,1.0,0.2,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/076_frame_205_layer_28
206,0.2996387806033801,frame_206_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,1,0.4,0.2,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/077_frame_206_layer_0
